City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hay River,CA,60.8156,-115.7999,10.38,85,90,16.11,snow
1,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,50,8.99,scattered clouds
2,Revda,RU,56.801,59.9303,23.81,85,100,12.73,overcast clouds
3,Hobart,AU,-42.8794,147.3294,54.23,90,75,8.05,broken clouds
4,Kavieng,PG,-2.5744,150.7967,81.61,75,100,1.9,light rain
5,Ushuaia,AR,-54.8,-68.3,46.06,57,40,40.29,scattered clouds
6,Ribeira Grande,PT,38.5167,-28.7,64.8,82,40,17.27,scattered clouds
7,New Norfolk,AU,-42.7826,147.0587,53.89,75,100,1.57,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,81.81,78,55,19.46,broken clouds
9,Kyaukse,MM,21.6,96.1333,69.21,92,70,2.68,broken clouds
10,Piacabucu,BR,-10.4056,-36.4344,79.18,77,28,13.96,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,73.49,65,4,7.67,clear sky
12,Bengkulu,ID,-3.8004,102.2655,75.11,88,100,4.29,overcast clouds
13,Fallon,US,39.4735,-118.7774,65.43,37,75,9.22,broken clouds
14,Faya,SA,18.3851,42.4509,57.72,87,15,5.91,few clouds
15,Huarmey,PE,-10.0681,-78.1522,67.87,79,99,8.77,overcast clouds
16,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,78,90,12.66,light snow
17,Busselton,AU,-33.65,115.3333,53.04,77,0,10.31,clear sky
18,Bredasdorp,ZA,-34.5322,20.0403,59.29,85,9,5.66,light rain
19,Chibombo,ZM,-14.6569,28.0706,71.82,64,94,4.05,overcast clouds
20,Albany,US,42.6001,-73.9662,38.84,71,43,1.99,scattered clouds
21,Verkhnyaya Toyma,RU,62.2349,44.9985,30.38,93,100,8.88,light snow
22,Dunedin,NZ,-45.8742,170.5036,61.63,57,100,2.8,overcast clouds
23,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,65.86,99,100,1.99,moderate rain
24,Hermanus,ZA,-34.4187,19.2345,62.91,85,2,11.03,clear sky
25,Steamboat Springs,US,40.485,-106.8317,51.73,37,90,10.36,overcast clouds
26,Ostrovnoy,RU,68.0531,39.5131,25.41,96,99,1.41,overcast clouds
27,Ballina,AU,-28.8667,153.5667,77.18,73,50,8.05,scattered clouds
28,Mercedes,AR,-34.6515,-59.4307,83.86,23,2,10.51,clear sky
29,Camabatela,AO,-8.1881,15.375,61.66,94,75,1.25,broken clouds
30,Kilindoni,TZ,-7.9139,39.6668,79.83,79,92,12.77,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,51.91,62,20,40.29,few clouds
32,Tasiilaq,GL,65.6145,-37.6368,24.96,70,99,5.75,overcast clouds
33,Hamilton,US,39.1834,-84.5333,43.0,51,1,1.99,clear sky
34,Iracoubo,GF,5.4802,-53.2011,79.14,84,82,7.36,broken clouds
35,Santa Ana,US,33.7456,-117.8678,78.35,66,90,1.99,haze
36,Miquelon,PM,47.0975,-56.3814,51.8,90,100,42.01,overcast clouds
37,Dikson,RU,73.5069,80.5464,-9.63,95,99,1.77,overcast clouds
38,Portland,US,45.5234,-122.6762,54.9,80,90,1.01,overcast clouds
39,Atuona,PF,-9.8,-139.0333,78.22,74,26,13.02,scattered clouds
40,Alofi,NU,-19.0595,-169.9187,84.09,70,3,12.66,light rain
41,Guerrero Negro,MX,27.9769,-114.0611,70.14,65,97,10.69,overcast clouds
42,Grand Gaube,MU,-20.0064,57.6608,75.6,68,13,3.0,few clouds
43,Broome,US,42.2506,-75.833,39.45,73,90,3.0,overcast clouds
44,Pangody,RU,65.85,74.4859,-14.62,98,49,9.86,scattered clouds
45,Geraldton,AU,-28.7667,114.6,55.81,88,0,10.36,clear sky
46,Ilulissat,GL,69.2167,-51.1,10.42,48,20,9.22,few clouds
47,Yining,CN,29.0361,114.5636,57.22,77,100,1.9,overcast clouds
48,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
49,Shaunavon,CA,49.6501,-108.4181,33.58,69,100,2.57,overcast clouds
50,Qaanaaq,GL,77.484,-69.3632,0.39,69,99,7.31,overcast clouds
51,Cherskiy,RU,68.75,161.3,-12.33,96,35,3.74,scattered clouds
52,Ponta Do Sol,PT,32.6667,-17.1,62.71,63,20,4.76,few clouds
53,Airai,TL,-8.9266,125.4092,63.21,89,89,2.3,overcast clouds
54,San Patricio,US,28.017,-97.5169,72.01,43,0,6.2,clear sky
55,Georgetown,MY,5.4112,100.3354,78.73,93,40,1.99,scattered clouds
56,Brae,GB,60.3964,-1.353,49.91,84,100,16.64,overcast clouds
57,El Limon,VE,10.3059,-67.6321,75.25,79,87,5.84,overcast clouds
58,Daru,PG,-9.0763,143.2092,81.0,84,95,17.54,overcast clouds
59,Chuy,UY,-33.6971,-53.4616,65.48,65,1,10.29,clear sky
60,Lebu,CL,-37.6167,-73.65,56.43,82,6,14.58,clear sky
61,Cayenne,GF,4.9333,-52.3333,82.09,84,0,3.0,clear sky
62,Hasaki,JP,35.7333,140.8333,41.4,69,0,19.82,clear sky
63,Faanui,PF,-16.4833,-151.75,80.2,79,12,21.68,light rain
64,Hualmay,PE,-11.0964,-77.6139,66.9,79,92,8.86,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,38.88,99,100,4.52,light rain
66,Caloundra,AU,-26.8,153.1333,81.05,75,9,7.0,clear sky
67,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,82,75,17.43,broken clouds
68,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,11.5,few clouds
69,Constitucion,CL,-35.3333,-72.4167,60.37,75,21,9.6,few clouds
70,Taybad,IR,34.74,60.7756,36.28,63,0,3.44,clear sky
71,Tuim,RU,54.3417,89.9261,2.62,60,100,14.58,overcast clouds
72,El Carmen,CO,8.5106,-73.4478,71.17,89,74,3.62,broken clouds
73,Flinders,AU,-34.5833,150.8552,65.21,89,100,1.01,overcast clouds
74,Souillac,MU,-20.5167,57.5167,75.58,69,20,8.05,few clouds
75,Bluff,NZ,-46.6,168.3333,55.47,87,100,10.02,overcast clouds
76,Goundam,ML,16.4145,-3.6708,82.11,13,77,13.4,broken clouds
77,Cabo San Lucas,MX,22.8909,-109.9124,84.61,53,1,5.01,clear sky
78,Grindavik,IS,63.8424,-22.4338,41.47,87,75,11.5,broken clouds
79,Udachnyy,RU,66.4167,112.4,-20.33,100,98,5.1,overcast clouds
80,Jamsa,FI,61.8642,25.19,34.34,98,100,6.06,light snow
81,Turayf,SA,31.6725,38.6637,59.25,82,40,8.05,scattered clouds
82,Beringovskiy,RU,63.05,179.3167,8.24,96,97,11.68,light snow
83,Krasnovishersk,RU,60.4078,57.082,25.03,94,100,10.63,light snow
84,Hilo,US,19.7297,-155.09,89.28,75,75,10.36,broken clouds
85,Avarua,CK,-21.2078,-159.775,80.65,74,20,17.27,few clouds
86,Coihaique,CL,-45.5752,-72.0662,63.21,48,75,10.36,broken clouds
87,Chokurdakh,RU,70.6333,147.9167,-19.16,100,97,1.57,overcast clouds
88,Ampanihy,MG,-24.7,44.75,70.93,74,34,4.47,scattered clouds
89,Saldanha,ZA,-33.0117,17.9442,59.05,82,0,20.22,clear sky
90,Lavrentiya,RU,65.5833,-171.0,5.36,75,8,6.38,clear sky
91,Iqaluit,CA,63.7506,-68.5145,24.53,68,90,17.0,overcast clouds
92,Mataura,NZ,-46.1927,168.8643,62.15,58,100,5.66,light rain
93,Kobayashi,JP,31.9833,130.9833,45.37,84,0,2.17,clear sky
94,Lorengau,PG,-2.0226,147.2712,82.65,67,95,0.13,overcast clouds
95,Saint George,US,37.1041,-113.5841,68.63,23,1,4.0,clear sky
96,Bemidji,US,47.4736,-94.8803,37.18,60,1,13.8,clear sky
97,Opuwo,NA,-18.0607,13.84,72.99,25,2,6.91,clear sky
98,Bijie,CN,27.3125,105.2942,47.52,97,100,4.12,overcast clouds
99,Riberalta,BO,-10.9833,-66.1,77.2,88,75,0.0,broken clouds
100,Avera,US,33.194,-82.5271,64.27,29,3,7.11,clear sky
101,Poptun,GT,16.3311,-89.4169,72.77,92,100,1.03,overcast clouds
102,Srednekolymsk,RU,67.45,153.6833,-4.61,99,100,1.41,overcast clouds
103,Kaikalur,IN,16.5667,81.2,74.44,97,100,7.05,overcast clouds
104,Varangaon,IN,21.0167,75.9,72.97,65,96,4.34,overcast clouds
105,Port Blair,IN,11.6667,92.75,80.24,82,97,4.16,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,60.33,74,13,2.15,few clouds
107,Pasni,PK,25.2631,63.471,69.51,32,0,19.69,clear sky
108,The Pas,CA,53.8251,-101.2541,23.02,80,1,6.91,clear sky
109,Castro,BR,-24.7911,-50.0119,63.27,94,60,7.45,broken clouds
110,Iberia,US,29.9502,-91.7507,66.97,34,1,6.91,clear sky
111,Vaini,TO,-21.2,-175.2,82.56,78,20,4.61,few clouds
112,Pisco,PE,-13.7,-76.2167,69.85,73,20,11.5,few clouds
113,Banda Aceh,ID,5.5577,95.3222,78.91,79,100,6.51,overcast clouds
114,Kupang,ID,-10.1667,123.5833,80.55,81,100,3.53,overcast clouds
115,Ferrol,ES,43.4832,-8.2369,53.85,84,7,5.28,clear sky
116,Kodiak,US,57.79,-152.4072,24.31,68,90,12.66,overcast clouds
117,Fairbanks,US,64.8378,-147.7164,-5.69,70,20,3.44,few clouds
118,Vardo,NO,70.3705,31.1107,37.38,87,75,13.8,moderate rain
119,Jijiga,ET,9.35,42.8,61.45,41,66,5.82,broken clouds
120,Port Alfred,ZA,-33.5906,26.891,62.08,74,41,3.51,scattered clouds
121,Pedernales,DO,18.0384,-71.744,80.96,69,9,3.42,clear sky
122,Olafsvik,IS,64.8945,-23.7142,35.78,90,79,20.45,broken clouds
123,Hofn,IS,64.2539,-15.2082,37.51,62,26,10.6,scattered clouds
124,Kloulklubed,PW,7.0419,134.2556,75.7,74,15,9.31,few clouds
125,Saint Anthony,US,45.0205,-93.218,43.3,49,1,5.99,clear sky
126,Kununurra,AU,-15.7667,128.7333,78.78,83,2,4.61,clear sky
127,Saint-Philippe,RE,-21.3585,55.7679,74.75,81,32,12.12,light rain
128,Namatanai,PG,-3.6667,152.4333,81.03,77,100,4.03,light rain
129,Honningsvag,NO,70.9821,25.9704,35.13,97,100,25.55,light snow
130,Bloomingdale,US,27.8936,-82.2404,80.51,70,40,3.0,scattered clouds
131,Nanortalik,GL,60.1432,-45.2371,30.52,69,98,12.55,overcast clouds
132,Khandyga,RU,62.6667,135.6,-19.43,100,98,2.21,overcast clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,10.36,broken clouds
134,Kagoro,NG,9.6,8.3833,72.25,30,6,5.55,clear sky
135,Carnarvon,AU,-24.8667,113.6333,66.27,88,0,10.36,clear sky
136,Bereda,ES,43.2686,-7.5406,48.92,86,8,1.14,clear sky
137,Rawson,AR,-43.3002,-65.1023,77.9,30,23,5.7,few clouds
138,Jiaonan,CN,35.8786,119.9753,42.82,83,61,5.5,broken clouds
139,Savannah Bight,HN,16.45,-85.85,82.45,73,100,10.78,overcast clouds
140,Doha,QA,25.2867,51.5333,73.38,66,0,3.44,clear sky
141,Thompson,CA,55.7435,-97.8558,23.16,80,90,9.22,overcast clouds
142,Vestmannaeyjar,IS,63.4427,-20.2734,43.99,69,62,14.85,broken clouds
143,Jamestown,US,42.097,-79.2353,38.79,77,75,7.0,broken clouds
144,Mbuji-Mayi,CD,-6.15,23.6,69.44,90,95,2.82,overcast clouds
145,Kapaa,US,22.0752,-159.319,82.72,72,20,1.99,few clouds
146,Ordu,TR,40.9086,37.6845,39.7,96,100,2.33,overcast clouds
147,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,8.05,few clouds
148,Batsfjord,NO,70.6345,29.7185,37.4,93,75,14.97,light snow
149,Lagoa,PT,39.05,-27.9833,65.16,74,100,19.66,overcast clouds
150,Merauke,ID,-8.4667,140.3333,77.81,89,100,10.6,heavy intensity rain
151,Yellowknife,CA,62.456,-114.3525,3.42,91,75,7.0,broken clouds
152,Walvis Bay,NA,-22.9575,14.5053,59.09,88,56,4.61,broken clouds
153,Umuarama,BR,-23.7664,-53.325,73.36,69,1,4.65,clear sky
154,Campbellsville,US,37.3434,-85.3419,45.16,37,54,5.86,broken clouds
155,Dodge City,US,37.7528,-100.0171,65.64,21,1,8.01,clear sky
156,Bethel,US,41.3712,-73.414,45.18,54,10,1.99,clear sky
157,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,35,0,11.5,clear sky
158,Linjiang,CN,41.8069,126.9078,29.07,73,78,0.94,broken clouds
159,Beidao,CN,34.5686,105.8933,45.63,57,100,2.19,overcast clouds
160,Linxia,CN,35.6003,103.2064,30.18,51,99,2.55,overcast clouds
161,Leningradskiy,RU,69.3833,178.4167,-3.59,82,87,4.63,overcast clouds
162,Bubaque,GW,11.2833,-15.8333,83.88,69,0,12.35,clear sky
163,Barrow,US,71.2906,-156.7887,10.42,85,90,8.05,light snow
164,Baruun-Urt,MN,46.6806,113.2792,14.86,49,23,4.5,few clouds
165,Havoysund,NO,70.9963,24.6622,36.48,98,100,32.03,light rain
166,Raga,SS,8.4596,25.678,83.84,27,93,2.59,overcast clouds
167,Biloela,AU,-24.4167,150.5,74.16,60,39,3.58,scattered clouds
168,Upernavik,GL,72.7868,-56.1549,9.81,78,78,7.0,broken clouds
169,Dingle,PH,10.9995,122.6711,75.43,92,59,1.36,broken clouds
170,Kalmunai,LK,7.4167,81.8167,77.97,86,87,3.31,overcast clouds
171,Cabedelo,BR,-6.9811,-34.8339,81.27,72,23,13.82,few clouds
172,Ballangen,NO,68.3428,16.8315,37.4,100,75,3.44,light rain
173,Anyama,CI,5.4946,-4.0518,81.41,88,18,5.1,few clouds
174,Oranjemund,NA,-28.55,16.4333,59.45,84,3,17.69,clear sky
175,Klaksvik,FO,62.2266,-6.589,45.52,77,100,26.64,overcast clouds
176,Cape Town,ZA,-33.9258,18.4232,63.27,70,0,23.02,clear sky
177,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,75,4.61,broken clouds
178,Batemans Bay,AU,-35.7167,150.1833,65.19,97,100,7.94,overcast clouds
179,Baghdad,IQ,33.3406,44.4009,53.51,58,0,3.44,clear sky
180,Serra,BR,-20.1286,-40.3078,78.26,83,75,16.11,moderate rain
181,Bahia Honda,CU,22.9036,-83.1592,78.26,78,46,9.53,scattered clouds
182,Richards Bay,ZA,-28.783,32.0377,63.54,76,100,2.3,light rain
183,Yuanping,CN,38.7153,112.7575,38.19,72,100,0.72,overcast clouds
184,Estevan,CA,49.1334,-102.9842,35.94,69,1,12.66,clear sky
185,Julio De Castilhos,BR,-29.2269,-53.6817,73.78,56,0,7.61,clear sky
186,Berbera,SO,10.4396,45.0143,78.55,56,3,1.3,clear sky
187,Katsuura,JP,35.1333,140.3,53.71,74,0,13.58,clear sky
188,Mackay,AU,-21.15,149.2,79.05,78,40,4.61,scattered clouds
189,Murgab,TM,37.4966,61.9714,33.67,80,0,6.91,clear sky
190,Nishihara,JP,26.1842,127.7558,70.88,83,20,9.22,few clouds
191,Tiksi,RU,71.6872,128.8694,-7.02,94,100,5.77,overcast clouds
192,Anadyr,RU,64.75,177.4833,-3.5,84,40,11.18,scattered clouds
193,Chicama,PE,-7.8447,-79.1469,64.94,71,99,9.24,overcast clouds
194,Port Hedland,AU,-20.3167,118.5667,71.65,88,9,5.75,clear sky
195,La Cruz,MX,23.9167,-106.9,81.16,39,0,7.29,clear sky
196,Kaitangata,NZ,-46.2817,169.8464,63.25,52,100,5.68,overcast clouds
197,Yar-Sale,RU,66.8333,70.8333,-5.42,94,91,15.88,overcast clouds
198,Nago,JP,26.5881,127.9761,73.56,82,29,11.14,scattered clouds
199,Shingu,JP,33.7333,135.9833,51.53,84,0,4.94,clear sky
200,Provideniya,RU,64.3833,-173.3,10.26,81,4,7.58,clear sky
201,Paamiut,GL,61.994,-49.6678,27.32,62,100,18.54,light snow
202,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,13.8,few clouds
203,Oistins,BB,13.0667,-59.5333,80.69,69,20,11.5,few clouds
204,Baykit,RU,61.67,96.37,-7.76,100,99,1.5,overcast clouds
205,Victoria,HK,22.2855,114.1577,73.38,88,90,1.01,overcast clouds
206,Port Moresby,PG,-9.4431,147.1797,80.02,89,75,3.44,broken clouds
207,Calderitas,MX,18.55,-88.25,80.28,73,79,5.41,broken clouds
208,Codrington,AU,-38.2667,141.9667,54.99,58,70,9.37,broken clouds
209,Tugulym,RU,57.0591,64.6425,24.87,81,100,11.61,overcast clouds
210,Zurrieq,MT,35.8311,14.4742,60.96,94,20,1.14,few clouds
211,Kavaratti,IN,10.5669,72.642,81.55,77,88,18.54,overcast clouds
212,Kruisfontein,ZA,-34.0033,24.7314,55.89,81,35,5.32,scattered clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,0,8.99,clear sky
214,Sidi Ali,DZ,36.0998,0.4206,61.03,49,100,6.96,overcast clouds
215,Mirnyy,RU,62.5353,113.9611,-5.4,99,100,2.13,overcast clouds
216,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,broken clouds
217,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,63,87,5.93,overcast clouds
218,Acapulco,MX,16.8634,-99.8901,85.82,70,20,10.36,few clouds
219,Altagracia De Orituco,VE,9.8601,-66.3814,77.29,72,99,5.97,overcast clouds
220,Gigmoto,PH,13.7796,124.39,78.62,86,47,2.42,scattered clouds
221,Storforshei,NO,66.4043,14.5233,36.66,93,75,5.75,light intensity shower rain
222,Vostok,RU,46.4856,135.8833,12.07,98,96,3.53,overcast clouds
223,Jaumave,MX,23.4167,-99.3833,68.05,70,81,3.89,broken clouds
224,Mehamn,NO,71.0357,27.8492,37.31,93,75,5.75,light snow
225,Fortuna,US,40.5982,-124.1573,57.85,69,77,1.99,broken clouds
226,Havelock,US,34.8791,-76.9013,55.4,45,20,1.99,few clouds
227,Khatanga,RU,71.9667,102.5,-23.01,91,35,2.8,scattered clouds
